web-scraper-order,web-scraper-start-url,links,links-href,name,description,innerpages,innerpages-href
"1675881699-603","https://www.1mg.com/drugs-all-medicines?label=y","Yes 250mg TabletMRP₹48.88Prescription Requiredstrip of 10 tabletsCaldern Pharmaceuticals LtdEthamsylate (250mg)ADD","https://www.1mg.com/drugs/yes-250mg-tablet-489446","Yes 250mg Tablet","Yes 250mg Tablet is used in the treatment of bleeding. It is used to prevent or reduce bleeding in conditions like abnormal blood loss during periods and dysfunctional uterine bleeding. It also prevents or reduces bleeding during, before or after delicate surgeries.

Yes 250mg Tablet is a hemostatic medication. It acts by increasing the ability of platelets to stick together and helps in the formation of blood clots. It also helps in controlling bleeding from capillaries which are tiny blood vessels. Take it in the exact dose and duration as prescribed by the doctor to get the maximum benefits.

Some common side effects of this medicine include nausea, headache, diarrhea, vomiting, or skin rash. If you experienced any of these side effects, let your doctor know. They may be able to suggest ways to prevent or reduce the side effects.

Before you take the medicine, inform the doctor if you have any problems with your liver, heart, or kidney. Do not take this medicine if you have any known allergies to this medication.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881702-604","https://www.1mg.com/drugs-all-medicines?label=y","Yopon  SyrupMRP₹85Prescription Requiredbottle of 200 ml SyrupMaxamus Pharma Pvt LtdCyproheptadine (2mg/5ml) + Tricholine Citrate (275mg/5ml) + Sorbitol (2gm/5ml)not available","https://www.1mg.com/drugs/yopon-syrup-332043","Yopon  Syrup","Yopon  Syrup is a combination medicine used to treat loss of appetite. It is an effective appetite stimulant. It works by reducing the effect of a chemical messenger which regulates appetite.

Yopon  Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.

The most common side effects are constipation, dryness in the mouth, and blurred vision. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are concerned about any of these. It can cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.

Before taking Yopon  Syrup, inform your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. Pregnant or breastfeeding women should also consult their doctor before taking this medicine.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881704-605","https://www.1mg.com/drugs-all-medicines?label=y","Yakrit 300 TabletMRP₹311Prescription Requiredstrip of 10 tabletsPrimus Remedies Pvt LtdUrsodeoxycholic Acid (300mg)not available","https://www.1mg.com/drugs/yakrit-300-tablet-645775","Yakrit 300 Tablet","Yakrit 300 Tablet is used to dissolve certain gallstones and prevent them from forming. It is also used to treat a type of liver disease called primary biliary cirrhosis. It helps break down the cholesterol that has converted into stones in your gallbladder thereby dissolving the stones.

Yakrit 300 Tablet should be swallowed whole after a meal and with a glass of milk or water. The dose will depend on what you are being treated for and your body weight. Take it regularly to get maximum benefit and keep taking it for as long as prescribed (several months or longer). Keep taking it even if your symptoms disappear.

This medicine's most common side effects are abdominal pain, diarrhea, hair loss, itching, nausea, and rash. Not everyone gets these side effects. If you are worried about them, or they do not go away, let your doctor know.

Before taking this medicine, you should tell your doctor if you have an inflammation of the gallbladder or bile ducts, you get frequent cramp-like pain in your upper abdomen, you have been coughing up blood or you have gained weight rapidly. Using this medicine can reduce or increase the effect of some other medicines so tell your doctor all other medicines you are taking. Women should discontinue hormonal birth control pills as they can increase the production of gallstones. During the treatment, you may need ultrasound scans, or frequent blood tests to check your liver function.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881706-606","https://www.1mg.com/drugs-all-medicines?label=y","Yetomox 500mg/125mg TabletMRP₹113Prescription Requiredstrip of 6 tabletsVibcare Pharma Pvt LtdAmoxycillin  (500mg) +  Clavulanic Acid (125mg)not available","https://www.1mg.com/drugs/yetomox-500mg-125mg-tablet-533058","Yetomox 500mg/125mg Tablet","Yetomox 500mg/125mg Tablet is a penicillin-type of antibiotic that helps your body fight infections caused by bacteria. It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin, and soft tissue. It will not work for viral infections such as the common cold.

Yetomox 500mg/125mg Tablet is best taken with a meal to reduce the chance of a stomach upset. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back or worsen.

The most common side effects of this medicine include vomiting, nausea, and diarrhea. These are usually mild but let your doctor know if they bother you or will not go away.

Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. This medicine is generally regarded as safe to use during pregnancy and breastfeeding if prescribed by a doctor.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881709-607","https://www.1mg.com/drugs-all-medicines?label=y","Yogaprol-AM 50 TabletMRP₹90Prescription Requiredstrip of 10 tabletsHiGlance LaboratoriesAmlodipine (5mg) + Metoprolol Succinate (50mg)not available","https://www.1mg.com/drugs/yogaprol-am-50-tablet-372483","Yogaprol-AM 50 Tablet","Yogaprol-AM 50 Tablet contains two medicines, both of which help to control high blood pressure and heart rate. It is also used for heart-related chest pain, abnormal heart rhythms and chronic (long-term) heart failure.

You can take Yogaprol-AM 50 Tablet at any time of day, with or without food, but it is best to take it at the same time each day. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.

It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment.

Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881711-608","https://www.1mg.com/drugs-all-medicines?label=y","Ycepo 200mg TabletMRP₹165Prescription Requiredstrip of 10 tabletsShine Pharmaceuticals LtdCefpodoxime Proxetil (200mg)not available","https://www.1mg.com/drugs/ycepo-200mg-tablet-265736","Ycepo 200mg Tablet","Ycepo 200mg Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is effective in infections of the lungs (eg. pneumonia), urinary tract, ear, nasal sinus, throat, and skin. It kills bacteria, which helps to improve your symptoms and cure the infection.

Ycepo 200mg Tablet should be taken with food. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back. It will not work for viral infections such as flu or the common cold. Using any antibiotic when you do not need it can make it less effective for future infections.

The most common side effects of this medicine include rash, nausea, and diarrhea. Taking this medicine along with some food may help to prevent indigestion and upset stomach. Consult your doctor if you find these side effects bother or worry you. 

Before using it, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. This medicine is generally regarded as safe to use in pregnancy and breastfeeding if prescribed by your doctor. It may blur your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881713-609","https://www.1mg.com/drugs-all-medicines?label=y","Yogamet-GM 1 Forte TabletMRP₹123.5Prescription Requiredstrip of 15 tabletsHiGlance LaboratoriesGlimepiride (1mg) + Metformin (1000mg)ADD","https://www.1mg.com/drugs/yogamet-gm-1-forte-tablet-372473","Yogamet-GM 1 Forte Tablet","Yogamet-GM 1 Forte Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.

Yogamet-GM 1 Forte Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.

Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.

The most common side effect of Yogamet-GM 1 Forte Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking, and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.

You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881716-610","https://www.1mg.com/drugs-all-medicines?label=y","Yees 40mg TabletMRP₹121Prescription Requiredstrip of 10 tabletsAlkem Laboratories LtdEsomeprazole (40mg)ADD","https://www.1mg.com/drugs/yees-40mg-tablet-700440","Yees 40mg Tablet","Yees 40mg Tablet is a medicine that reduces the amount of acid produced in your stomach. It is used to treat acid reflux, peptic ulcer disease, and other problems in your food pipe. It is also used to prevent and treat stomach ulcers.

You should take Yees 40mg Tablet as your doctor advises. The dose will depend on what you are being treated for, but it is usually the lowest dose for the shortest time that is needed to treat your condition. It is usually taken on an empty stomach. Keep taking it as prescribed even if your symptoms disappear quickly. If you are taking this medicine for a long time, your doctor may carry out regular tests to check your levels of magnesium which can fall with this medicine.

Common side effects include headache, constipation or diarrhea, stomach pain, and feeling or being sick. These tend to be mild but talk to your doctor if they bother you or do not go away. The risk of side effects may increase the longer you take this medicine. You may be more likely to have a broken bone if you take it for a long time. It is best to avoid foods that seem to make your symptoms worse, such as rich, spicy, and fatty foods. Cutting down on caffeinated drinks, such as tea, coffee, and cola, as well as alcohol may also help.

This medicine is not suitable for some people. Before taking this medicine, you need to tell your doctor if you have severe liver problems, are taking medicines for HIV, have had an allergic reaction to similar medicines in the past, or have osteoporosis. Alcohol does not interfere with the way Yees 40mg Tablet works. However, drinking alcohol makes your stomach produce more acid than normal. This medicine can make you feel dizzy, sleepy, or affect your vision. If this happens, do not drive, cycle, or use machinery or tools until you feel better. It is not usually recommended during pregnancy and breastfeeding.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881718-611","https://www.1mg.com/drugs-all-medicines?label=y","Yearcet TabletMRP₹23Prescription Requiredstrip of 10 tabletsSuperlative HealthcareCetirizine (10mg)not available","https://www.1mg.com/drugs/yearcet-tablet-654382","Yearcet Tablet","Yearcet Tablet belongs to a group of medicines called antihistamines. It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions, and reactions to bites and stings. It relieves watery eyes, runny nose, sneezing, and itching.

Yearcet Tablet can be taken with or without food. The dose required for you may vary depending on what you are taking it for. This medicine is usually taken in the evening but follow the advice of your doctor on how to take it. You may need this medicine only on days you have symptoms, but if you are taking it to prevent symptoms you should take it regularly. If you miss doses or stop taking it earlier than advised, your symptoms may come back.

This medicine is generally very safe. The most common side effects include feeling sleepy or dizzy. These are usually mild and go away after a couple of days as your body adjusts. Consult your doctor if any of the side effects persist or worry you. You should avoid alcohol while taking this medicine.

Before taking it, tell your doctor if you have any kidney problems or epilepsy. Your dose may need to be modified or this medicine may not be suitable. Some other medicines can interact with this medicine so let your healthcare team know what else you are taking. You should also talk to your doctor before using this medicine if you are pregnant or breastfeeding, although it is not thought to be harmful.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881720-612","https://www.1mg.com/drugs-all-medicines?label=y","Yama Safe D TabletMRP₹180Prescription Requiredstrip of 10 tabletsMedok Life Sciences Pvt LtdTrypsin (48mg) + Bromelain (90mg) + Rutoside (100mg) + Diclofenac (50mg)not available","https://www.1mg.com/drugs/yama-safe-d-tablet-496118","Yama Safe D Tablet","Yama Safe D Tablet is a pain relieving medicine. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. It may also be used to relieve fever, muscle pain, back pain, toothache, or pain in the ear and throat.

Yama Safe D Tablet should be taken with food. This will prevent you from getting an upset stomach. You should take it regularly as advised by your doctor. Do not take more or use it for a longer duration than recommended by your doctor.

Some of the common side effects of this medicine include nausea, vomiting, heartburn, diarrhea, loss of appetite, and indigestion. If any of these side effects bother you or do not go away with time, you should let your doctor know. Your doctor may help you with ways to reduce or prevent the side effects.

The medicine may not be suitable for everybody. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Pregnant and breastfeeding mothers should first consult their doctors before using this medicine.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
"1675881723-613","https://www.1mg.com/drugs-all-medicines?label=y","Yenti MK 5mg/10mg TabletMRP₹102Prescription Requiredstrip of 10 tabletsYew BiotechLevocetirizine (5mg) + Montelukast (10mg)not available","https://www.1mg.com/drugs/yenti-mk-5mg-10mg-tablet-638250","Yenti MK 5mg/10mg Tablet","Yenti MK 5mg/10mg Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. It also reduces inflammation in the airways and make breathing easier.

Yenti MK 5mg/10mg Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.

The most common side effects are nausea, diarrhea, vomiting, dryness in the mouth, headache, skin rash, flu-like symptoms, and fatigue. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.

Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before you start taking this medicine it is important to inform your doctor if you are suffering from kidney disease.","Next >","https://www.1mg.com/drugs-all-medicines?page=2&label=y"
